tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
282,35:00.3,39:42.8,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,47054,Subscriber,1995,1
2055,35:04.2,09:20.2,3483,Montgomery St,40.71942,-74.05099,3199,Newport Pkwy,40.7287448,-74.0321082,43139,Subscriber,1958,1
1975,35:18.7,08:14.1,3213,Van Vorst Park,40.71848892,-74.04772663,3205,JC Medical Center,40.71653978,-74.04963791,44913,Customer,1969,0
528,35:33.8,44:22.0,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,44225,Subscriber,1978,1
752,35:58.3,48:31.1,3203,Hamilton Park,40.72759597,-74.04424731,3483,Montgomery St,40.71942,-74.05099,46190,Subscriber,1992,2
499,36:13.2,44:33.2,3220,5 Corners Library,40.73496102,-74.05950308,3225,Baldwin at Montgomery,40.7236589,-74.0641943,40440,Customer,1998,1
596,37:45.0,47:41.6,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,44236,Subscriber,1987,1
289,37:45.9,42:35.1,3276,Marin Light Rail,40.71458404,-74.04281706,3211,Newark Ave,40.72152515,-74.04630454,29072,Subscriber,1994,1
846,39:05.5,53:12.4,3195,Sip Ave,40.7308971,-74.06391263,3192,Liberty Light Rail,40.7112423,-74.0557013,44703,Subscriber,1996,1
812,43:36.8,57:09.5,3640,Journal Square,40.73367,-74.0625,3199,Newport Pkwy,40.7287448,-74.0321082,42174,Subscriber,1992,1
887,46:24.6,01:11.7,3483,Montgomery St,40.71942,-74.05099,3639,Harborside,40.7192517,-74.034234,48932,Customer,1969,0
629,49:51.4,00:20.5,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,42497,Subscriber,1977,1
2400,53:28.7,33:29.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,44703,Subscriber,1996,1
545,53:35.4,02:41.2,3681,Grand St,40.71517768,-74.03768331,3638,Washington St,40.7242941,-74.0354826,42575,Customer,1969,0
541,55:28.9,04:30.2,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,45277,Subscriber,1992,1
353,57:30.0,03:23.3,3213,Van Vorst Park,40.71848892,-74.04772663,3187,Warren St,40.7211236,-74.03805095,42331,Subscriber,1980,1
511,58:50.2,07:21.8,3203,Hamilton Park,40.72759597,-74.04424731,3209,Brunswick St,40.7241765,-74.0506564,43352,Subscriber,1974,1
1379,04:08.2,27:07.3,3694,Jackson Square,40.71113,-74.0789,3681,Grand St,40.71517768,-74.03768331,46531,Customer,1969,0
632,06:15.7,16:48.2,3483,Montgomery St,40.71942,-74.05099,3639,Harborside,40.7192517,-74.034234,39920,Subscriber,1973,2
161,06:56.6,09:38.2,3206,Hilltop,40.7311689,-74.0575736,3195,Sip Ave,40.7308971,-74.06391263,44322,Subscriber,1989,1
684,09:36.8,21:01.6,3483,Montgomery St,40.71942,-74.05099,3275,Columbus Drive,40.7183552,-74.03891444,46190,Customer,1969,0
303,09:49.2,14:52.7,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,28579,Subscriber,2000,1
637,10:44.5,21:21.6,3187,Warren St,40.7211236,-74.03805095,3205,JC Medical Center,40.71653978,-74.04963791,42340,Subscriber,1987,2
617,11:26.8,21:44.8,3187,Warren St,40.7211236,-74.03805095,3205,JC Medical Center,40.71653978,-74.04963791,42331,Subscriber,1996,2
2663,12:11.5,56:35.0,3199,Newport Pkwy,40.7287448,-74.0321082,3483,Montgomery St,40.71942,-74.05099,43139,Subscriber,1958,1
742,14:17.2,26:39.6,3275,Columbus Drive,40.7183552,-74.03891444,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42277,Customer,1981,1
736,14:54.8,27:11.5,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,43098,Subscriber,1988,1
1958,14:55.4,47:34.3,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,42494,Subscriber,1994,2
2504,14:57.6,56:41.9,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,35139,Subscriber,1993,1
292,16:55.9,21:48.1,3211,Newark Ave,40.72152515,-74.04630454,3269,Brunswick & 6th,40.72601173,-74.05038893,42251,Subscriber,1958,1
865,18:55.0,33:20.5,3483,Montgomery St,40.71942,-74.05099,3203,Hamilton Park,40.72759597,-74.04424731,43544,Subscriber,1992,2
2265,19:01.7,56:47.3,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,42206,Subscriber,1992,1
757,20:28.6,33:06.0,3638,Washington St,40.7242941,-74.0354826,3267,Morris Canal,40.71241882,-74.03852552,43543,Subscriber,1977,1
908,22:07.2,37:16.2,3195,Sip Ave,40.7308971,-74.06391263,3268,Lafayette Park,40.71346383,-74.06285852,40053,Customer,1997,1
72231,24:28.3,28:19.5,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,39920,Subscriber,1990,1
532,28:05.1,36:57.4,3199,Newport Pkwy,40.7287448,-74.0321082,3214,Essex Light Rail,40.7127742,-74.0364857,49527,Subscriber,1996,1
740,30:24.7,42:45.4,3694,Jackson Square,40.71113,-74.0789,3694,Jackson Square,40.71113,-74.0789,29095,Customer,1969,0
1457,30:36.5,54:54.5,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.7308971,-74.06391263,42527,Customer,1998,1
712,31:05.1,42:57.6,3694,Jackson Square,40.71113,-74.0789,3694,Jackson Square,40.71113,-74.0789,48911,Customer,1969,0
682,31:33.9,42:56.6,3694,Jackson Square,40.71113,-74.0789,3694,Jackson Square,40.71113,-74.0789,27403,Customer,1969,0
2686,33:50.3,18:37.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,44703,Subscriber,1996,1
650,36:21.9,47:12.1,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42382,Subscriber,1991,1
371,36:46.2,42:58.1,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,44452,Subscriber,1980,1
592,37:08.4,47:00.5,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42434,Subscriber,1992,2
1310,39:19.1,01:09.8,3278,Monmouth and 6th,40.72568548,-74.04879034,3210,Pershing Field,40.74267714,-74.05178863,47258,Subscriber,1962,1
570,41:12.7,50:43.6,3193,Lincoln Park,40.7246051,-74.07840595,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42368,Customer,1969,0
1354,47:54.6,10:28.9,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,42494,Subscriber,1994,2
127,48:54.4,51:02.0,3184,Paulus Hook,40.7141454,-74.0335519,3681,Grand St,40.71517768,-74.03768331,39533,Subscriber,1987,1
263,51:41.0,56:04.5,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,40975,Subscriber,1981,1
488,54:59.0,03:07.6,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,42340,Subscriber,1987,2
454,55:36.4,03:11.3,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,42331,Subscriber,1996,2
246,56:33.2,00:39.5,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,44671,Subscriber,1996,1
482,58:40.2,06:42.3,3639,Harborside,40.7192517,-74.034234,3273,Manila & 1st,40.72165072,-74.04288411,48932,Subscriber,1949,1
1525,59:03.8,24:29.5,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42527,Customer,1998,1
